Record ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice
1,10,4,3,6,13,14,7,5,8,1,12,9,11,2
2,7,9,10,14,3,13,5,12,8,11,2,1,4,6
3,2,7,13,9,11,5,3,8,10,6,14,12,4,1
4,2,11,9,13,7,4,5,1,6,12,3,8,10,14
5,2,8,4,14,1,5,6,3,11,7,9,10,12,13
6,3,10,8,5,14,11,6,12,2,7,9,13,4,1
7,8,10,12,14,1,4,2,5,3,6,7,13,9,11
8,13,9,10,5,6,3,14,12,1,8,2,4,7,11
9,8,10,12,1,5,7,6,3,4,9,14,13,2,11
10,13,6,2,9,8,4,1,5,10,7,14,12,11,3
11,7,9,13,11,4,2,8,10,12,14,6,5,3,1
12,13,9,4,7,11,2,12,1,8,3,5,6,10,14
13,14,12,5,6,7,9,11,1,3,13,2,4,8,10
14,1,2,8,6,10,13,4,9,5,7,3,11,12,14
